﻿Account Name,Asset Inventory,Associated Malware,Associated Tags,Bugtraq ID,Category,Created By ID,Created Date,Date Last Fixed,Deleted,Devices connected from IP addresses,Exploitability,External IPs Count,FQDN,First Detected,IP Interfaces,IP Status,IPs,Instance,Is Latest,Last Modified Date,Last Referenced Date,Last Viewed Date,NetBIOS,Computer Name (DNS),IP,Network,OS,OS CPE,PCI Vuln,Parent Account Name,Port,Protocol,QG Host ID,QID,Vulnerability Description,Severity,QID Frm,QID+QG_Host_ID,Fixed Date,Fixed Name,Fixed Note,Results,SSL,Scan Status,Scan Summary,Solution,System Modstamp,Threat,Impact,CVE ID,Last Detected,Ticket State,Times Detected,Tracking Method,Type,Used Scan Summary for count,Vendor Reference,Vuln Status,Vulnerability,isRemediated,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers",-,Windows,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM","9/8/2022, 11:14:44 PM",FALSE,-,-,-,-,"8/5/2022, 11:38:37 AM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,90007,Enabled Cached Logon Credential,2,90007,9000753b47ff3-47bb-4904-9db5-8de0ff423529,,AlexD,"Ignored, low risk",HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon cachedlogonscount = 10#,-,Active,a29Ri000001v6jMIAQ,"We recommend that you locate the following Registry key, and then set or create a REG_SZ 'CachedLogonsCount' entry with a '0' value:   HKEY_LOCAL_MACHINE\Software\Microsoft\Windows Nt\CurrentVersion\Winlogon","4/8/2024, 11:18:33 PM","Windows NT may use a cache to store the last interactive logon (i.e. console logon), to provide a safe logon for the host in the event that the Domain Controller goes down. This feature is currently activated on this host.","Unauthorized users can gain access to this cached information, thereby obtaining sensitive logon information.",-,"4/8/2024, 6:31:19 PM",-,2404,QAGENT,Vuln,-,-,Active,QSD - 21687651,FALSE,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers",-,Local,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM",-,FALSE,-,-,-,-,"4/3/2024, 2:59:59 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,379555,Google Chrome Prior to 123.0.6312.105 Multiple Vulnerabilities,4,379555,37955553b47ff3-47bb-4904-9db5-8de0ff423529,,,,%ProgramFiles(x86)%\Google\Chrome\Application\123.0.6312.86\chrome.dll file version is 123.0.6312.86#,-,New,a29Ri000001v6jMIAQ,Refer to Chrome security advisory 123.0.6312.105 (https://chromereleases.googleblog.com/2024/04/stable-channel-update-for-desktop.html) for updates and patch information.  Patch:  Following are links for downloading patches to fix the vulnerabilities:   Google Chrome 123.0.6312.105 (https://chromereleases.googleblog.com/2024/04/stable-channel-update-for-desktop.html),"4/8/2024, 11:18:33 PM","Chrome has released security updates for Windows, Mac, and Linux to fix the vulnerabilities.  Note: The preceding description block is extracted directly from the security advisory. Using automation, we have attempted to clean and format it as much as possible without introducing additional issues.","Successful exploitation of this vulnerability could lead to a security breach or could affect integrity, availability, and confidentiality.","CVE-2024-3156, CVE-2024-3158, CVE-2024-3159","4/8/2024, 6:31:19 PM",-,32,QAGENT,Vuln,-,-,Active,QSD - 21687647,FALSE,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers",-,Windows,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM","10/13/2022, 11:01:53 PM",FALSE,-,-,-,-,"8/5/2022, 11:38:37 AM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,91565,Microsoft Guidance for Enabling LDAP Signing Missing (ADV190023),2,91565,9156553b47ff3-47bb-4904-9db5-8de0ff423529,,AlexD,"Ignored, low risk",HKLM\SYSTEM\CurrentControlSet\Control\ProductOptions ProductType = LanmanNT  HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters LDAPServerIntegrity = 1#,-,Active,a29Ri000001v6jMIAQ,Customers are advised to refer to ADV190023 (https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/ADV190023) and KB935834 (https://support.microsoft.com/en-us/help/935834/how-to-enable-ldap-signing-in-windows-server-2008) for more information.   Patch:  Following are links for downloading patches to fix the vulnerabilities:   KB935834 (https://support.microsoft.com/en-us/help/935834/how-to-enable-ldap-signing-in-windows-server-2008)  ADV190023 (https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/ADV190023),"4/8/2024, 11:18:33 PM","LDAP signing provide ways to increase the security for communications between LDAP clients and Active Directory domain controllers. The security of a directory server can be significantly improved by configuring the server to reject Simple Authentication and Security Layer (SASL) LDAP binds that do not request signing (integrity verification) or to reject LDAP simple binds that are performed on a clear text (non-SSL or TLS-encrypted) connection. This advisory addresses the issue by recommending a new set of safe default configurations for LDAP signing on Active Directory Domain Controllers that supersedes the original unsafe configuration.  QID Detection Logic:  Based on KB935834 (https://support.microsoft.com/en-us/help/935834/how-to-enable-ldap-signing-in-windows-server-2008), this authenticated QID detects if the values of the following keys is set to other than ""2"":  HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\LDAPServerIntegrity",A set of unsafe default configurations for LDAP channel binding and LDAP signing exist on Active Directory Domain Controllers that let LDAP clients communicate with them without enforcing LDAP channel binding and LDAP signing. This can open Active directory domain controllers to elevation of privilege vulnerabilities.,-,"4/8/2024, 6:31:19 PM",-,3530,QAGENT,Vuln,-,-,Active,QSD - 21687649,FALSE,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers",-,Windows,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM",-,FALSE,-,-,-,-,"3/11/2024, 10:18:10 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,91564,Microsoft Guidance for LDAP Channel Binding Missing (ADV190023),2,91564,9156453b47ff3-47bb-4904-9db5-8de0ff423529,,AlexD,"Ignored, low risk",HKLM\SYSTEM\CurrentControlSet\Control\ProductOptions ProductType = LanmanNT HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters LdapEnforceChannelBinding is missing. KB4034879 mitigation has not been applied on the target#,-,New,a29Ri000001v6jMIAQ,Customers are advised to refer to ADV190023 (https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/ADV190023) and KB4034879 (https://support.microsoft.com/en-us/help/4034879/how-to-add-the-ldapenforcechannelbinding-registry-entry) for more information.   Patch:  Following are links for downloading patches to fix the vulnerabilities:   ADV190023 (https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/ADV190023)  KB 4034879 (https://support.microsoft.com/en-us/help/4034879/how-to-add-the-ldapenforcechannelbinding-registry-entry),"4/8/2024, 11:18:33 PM","LDAP channel binding provides more security for communication between LDAP clients and Active Directory domain controllers. Default configurations of LDAP channel bindings on Active Directory Domain Controllers  are unsafe, the registry key setting mentioned below makes LDAP authentication over SSL/TLS more secure.  Affected Products:  Windows Host with Active Directory domain controllers  QID Detection Logic:  The QID checks if Active Directory domain controllers exists on the host then registry value ""HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters\LdapEnforceChannelBinding"" is set to DWORD ""1"" or ""2"".  Note: Currently the signature does not check for Active Directory Lightweight Directory Services (AD LDS) servers.",Not enabling the registry key settings will allow LDAP clients communicate with Active directory domain controllers without enforcing LDAP channel which can result in elevation of privilege vulnerabilities on Active directory domain controllers,-,"4/8/2024, 6:31:19 PM",-,167,QAGENT,Vuln,-,-,Active,QSD - 21687650,FALSE,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers","99398, 99389, 99409, 99414, 99424, 99439, 99387, 99426, 99397, 99402, 99428, 99394, 99404, 99431, 99438, 99416, 99419, 99421, 99423, 99429, 99434, 99413, 99400, 99425, 99427, 99396, 98824, 96681",Windows,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM",-,FALSE,-,"Source: The Exploit-DB Reference:CVE-2017-8564 Description:Microsoft Windows Kernel - 'IOCTL 0x120007 NsiGetParameter' nsiproxy/netio Pool Memory Disclosure - The Exploit-DB Ref : 42338 Link:http://www.exploit-db.com/exploits/42338 Source: exploitdb Reference:CVE-2017-8564 Description:Microsoft Windows Kernel - 'IOCTL 0x120007 NsiGetParameter' nsiproxy/netio Pool Memory Disclosure Link:https://www.exploit-db.com/exploits/42338 Source: nvd Reference:CVE-2017-8564 Description:Windows kernel in Microsoft Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, Windows 10 Gold, 1511, 1607, and 1703, and Windows Server 2016 allows an information disclosure vulnerability when it fails to properly initialize a memory address, aka ""Windows Kernel Information Disclosure Vulnerability"". Link:https://www.exploit-db.com/exploits/42338/ Source: packetstorm Reference:CVE-2017-0071 Description:Microsoft Edge Charkra Incorrect Jit Optimization Link:https://packetstormsecurity.com/files/141658/Microsoft-Edge-Charkra-Incorrect-Jit-Optimization.html Reference:CVE-2017-8564 Description:Microsoft Windows Kernel nsiproxy/netio Pool Memory Disclosure Link:https://packetstormsecurity.com/files/143396/Microsoft-Windows-Kernel-nsiproxy-netio-Pool-Memory-Disclosure.html Source: 0day.today Reference:CVE-2017-0071 Description:Microsoft Edge Charkra Incorrect Jit Optimization Exploit Link:https://0day.today/exploit/27344 Reference:CVE-2017-8564 Description:Microsoft Windows Kernel - IOCTL 0x120007 (NsiGetParameter) nsiproxy/netio Pool Memory Disclosure Link:https://0day.today/exploit/28151 Source: cisa-kev Reference:CVE-2017-8543 Description:Microsoft Windows Search Remote Code Execution Vulnerability Link:https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json Source: google-0day-itw Reference:CVE-2017-8543 Description:Microsoft Windows Buffer overflow in Windows Search CTableVariant Link:https://docs.google.com/spreadsheets/d/1lkNJ0uQwbeC1ZTRrxdtuPLCIl7mlUreoKfSIgajnSyY/edit Source: nist-nvd2 Reference:CVE-2017-8564 Description:Windows kernel in Microsoft Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, Windows 10 Gold, 1511, 1607, and 1703, and Windows Server 2016 allows an information disclosure vulnerability when it fails to properly initialize a memory address, aka ""Windows Kernel Information Disclosure Vulnerability"". Link:https://www.exploit-db.com/exploits/42338/ Source: microsoft-cvrf Reference:CVE-2017-8543 Description:Windows Search Remote Code Execution Vulnerability Link:https://api.msrc.microsoft.com/cvrf/2017-Jun?api-version=2020",-,-,"2/19/2024, 6:22:25 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,91393,Microsoft Windows Security and Configuration Update July 2017,5,91393,9139353b47ff3-47bb-4904-9db5-8de0ff423529,,AlexD,"Ignored, low risk",HKLM\SYSTEM\CurrentControlSet\Control\ProductOptions ProductType = LanmanNT  HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters LdapEnforceChannelBinding is missing.  HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters LdapEnforceChannelBinding is missing.  KB4034879 settings has not been applied on the target#,-,Active,a29Ri000001v6jMIAQ,"Customers are advised to refer to Microsoft Security Guidance (https://portal.msrc.microsoft.com/en-us/security-guidance) for more details pertaining to this vulnerability.   Patch:  Following are links for downloading patches to fix the vulnerabilities:   KB4025397 (http://www.catalog.update.microsoft.com/search.aspx?q=4025397)  KB4025341 (http://www.catalog.update.microsoft.com/search.aspx?q=4025341)  KB4025337 (http://www.catalog.update.microsoft.com/search.aspx?q=4025337)  KB4025336 (http://www.catalog.update.microsoft.com/search.aspx?q=4025336)  KB4025333 (http://www.catalog.update.microsoft.com/search.aspx?q=4025333)  KB4025344 (http://www.catalog.update.microsoft.com/search.aspx?q=4025344)  KB4025331 (http://www.catalog.update.microsoft.com/search.aspx?q=4025331)  KB4025343 (http://www.catalog.update.microsoft.com/search.aspx?q=4025343)  KB4025339 This KB was removed by microsoft, also is superseded by KB4025334 and later (http://www.catalog.update.microsoft.com/search.aspx?q=4025339)  KB4025338 (http://www.catalog.update.microsoft.com/search.aspx?q=4025338)  KB4025342 (http://www.catalog.update.microsoft.com/search.aspx?q=4025342)  KB4025497 (http://www.catalog.update.microsoft.com/search.aspx?q=4025497)  KB4025877 (http://www.catalog.update.microsoft.com/search.aspx?q=4025877)  KB4022746 (http://www.catalog.update.microsoft.com/search.aspx?q=4022746)  KB4025398 (http://www.catalog.update.microsoft.com/search.aspx?q=4025398)  KB4025409 (http://www.catalog.update.microsoft.com/search.aspx?q=4025409)  KB4022748 (http://www.catalog.update.microsoft.com/search.aspx?q=4022748)  KB4025872 (http://www.catalog.update.microsoft.com/search.aspx?q=4025872)  KB4022914 (http://www.catalog.update.microsoft.com/search.aspx?q=4022914)  KB4025674 (http://www.catalog.update.microsoft.com/search.aspx?q=4025674)  KB4026061 (http://www.catalog.update.microsoft.com/search.aspx?q=4026061)  KB4032955 (http://www.catalog.update.microsoft.com/search.aspx?q=4032955)  KB4026059 (http://www.catalog.update.microsoft.com/search.aspx?q=4026059)  KB4025240 (http://www.catalog.update.microsoft.com/search.aspx?q=4025240)","4/8/2024, 11:18:33 PM","Microsoft releases the security update for Windows July 2017  The KB Articles associated with the update:  KB4025397 (https://support.microsoft.com/en-us/help/4561602)  KB4025341 (https://support.microsoft.com/en-us/help/4561670)  KB4025337 (https://support.microsoft.com/en-us/help/4561674)  KB4025336 (https://support.microsoft.com/en-us/help/4561643)  KB4025333 (https://support.microsoft.com/en-us/help/4561645)  KB4025344 (https://support.microsoft.com/en-us/help/4560960)  KB4025331 (https://support.microsoft.com/en-us/help/4561673)  KB4025343 (https://support.microsoft.com/en-us/help/4561608)  KB4025339 (https://support.microsoft.com/en-us/help/4561612)NOTE: This KB was removed by microsoft, also is superseded by KB4025334 and later  KB4025338 (https://support.microsoft.com/en-us/help/4561666)  KB4025342 (https://support.microsoft.com/en-us/help/4561669)  KB4025497 (https://support.microsoft.com/en-us/help/4561649)  KB4025877 (https://support.microsoft.com/en-us/help/4561621)  KB4022746 (https://support.microsoft.com/en-us/help/4561616)  KB4025398 (https://support.microsoft.com/en-us/help/4561616)  KB4025409 (https://support.microsoft.com/en-us/help/4561616)  KB4022748 (https://support.microsoft.com/en-us/help/4561616)  KB4025872 (https://support.microsoft.com/en-us/help/4561616)  KB4022914 (https://support.microsoft.com/en-us/help/4561616)  KB4025674 (https://support.microsoft.com/en-us/help/4561616)  KB4026061 (https://support.microsoft.com/en-us/help/4561616)  KB4032955 (https://support.microsoft.com/en-us/help/4561616)  KB4026059 (https://support.microsoft.com/en-us/help/4561616)  KB4025240 (https://support.microsoft.com/en-us/help/4561616)  KB4034879 (https://support.microsoft.com/en-us/topic/kb4034879-use-the-ldapenforcechannelbinding-registry-entry-to-make-ldap-authentication-over-ssl-tls-more-secure-e9ecfa27-5e57-8519-6ba3-d2c06b21812e)  NOTE: CVE-2017-8543 only affects Windows 10 Version 1607 and Windows 10 Version 1703 for this QID. QID Detection Logic (Authenticated):  This QID checks for Windows 2008 SP2 through below registry key  %windir%\system32\Wdc.dll  %windir%\System32\browseui.dll  %windir%\system32\win32k.sys  %windir%\system32\Kerberos.dll  %windir%\System32\Msinfo32.exe  %windir%\System32\Wldap32.dll  %windir%\System32\drivers\netio.sys  %windir%\System32\Drivers\Http.sys  %windir%\System32\Drivers\Ntfs.sys  %ProgramFiles%\Windows NT\Accessories\wordpad.exe  %windir%\System32\Query.dll  %windir%\System32\Clfs.sys  %windir%\system32\Msxml3.dll  %windir%\Microsoft.NET\assembly\GAC_MSIL\System.Management.Automation\v4.0_3.0.0.0__31bf3856ad364e35\System.Management.Automation.dll   For Windows Server 2008 R2, Windows 7, Windows 8.1, Windows RT 8.1, Windows Server 2012, Windows Server 2012 R2: %windir%\system32\win32k.sys  For Windows 10, Server 2016: %windir%\system32\win32kfull.sys  For Windows Server 2008 R2, Windows 7/8.1/RT 8.1, Windows Server 2012/2012R2, Windows Server 2019/2022: HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Parameters LdapEnforceChannelBinding",Successful exploitation allows an attacker to execute arbitrary code and take control of an affected system.,"CVE-2017-0071, CVE-2017-0170, CVE-2017-8463, CVE-2017-8467, CVE-2017-8486, CVE-2017-8495, CVE-2017-8556, CVE-2017-8557, CVE-2017-8561, CVE-2017-8562, CVE-2017-8563, CVE-2017-8564, CVE-2017-8565, CVE-2017-8566, CVE-2017-8573, CVE-2017-8574, CVE-2017-8577, CVE-2017-8578, CVE-2017-8580, CVE-2017-8581, CVE-2017-8582, CVE-2017-8584, CVE-2017-8587, CVE-2017-8588, CVE-2017-8589, CVE-2017-8590, CVE-2017-8592, CVE-2017-8543","4/8/2024, 6:31:19 PM",-,287,QAGENT,Vuln,-,-,Active,QSD - 21687646,FALSE,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers",-,Local,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM","3/13/2024, 11:01:44 PM",FALSE,-,Source: Qualys Reference:CVE-0000-0000 Description:Windows Escalate Service Permissions Local Privilege Escalation Link:https://www.rapid7.com/db/modules/exploit/windows/local/service_permissions,-,-,"11/17/2023, 2:34:58 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,372294,Windows Service Weak Permissions detected,3,372294,37229453b47ff3-47bb-4904-9db5-8de0ff423529,,,,"'------------------------------------------------------------	 	 	 	 c:\programdata\sscservice\sscwindowsservice.exe	 	 	 	 ------------------------------------------------------------	 	 	 	 Everyone	access-allowed	INHERITED_ACE	append_data execute standard_write_dac standard_read standard_delete standard_write_owner read_extended_attributes read_data synchronize write_data write_extended_attributes write_attributes read_attributes delete_child#",-,Active,a29Ri000001v6jMIAQ,"These User groups should not have any ""write"" or ""modify"" permissions for the listed service executables.","4/8/2024, 11:18:33 PM","The below list running services on Windows have weak permissions and are susceptible to privilege escalation. A user with an unprivileged account can overwrite or modify the service executable with malicious code, when the service is (re)started next time, the user will be able to gain elevated privileges.  QID Detection Logic:  Operating System: Windows. The QID uses wmi query ""select PathName from Win32_Service"" (namespace ""root\cimv2"") to list executable path of running services. The QID then checks for weak permissions (if ""write"" or ""modify"" permissions are granted) via ACL for User groups ""Users"" and ""Everyone"".",Successful exploitation will lead to privilege escalation.,-,"4/8/2024, 6:31:19 PM",-,695,QAGENT,Vuln,-,-,Active,QSD - 21687648,FALSE,
PJ Lund DDS PLLC,a2sRi000000xabpIAA,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Servers",-,Local,005f4000000fHSKAA2,"4/8/2024, 11:18:33 PM","3/13/2024, 11:01:44 PM",FALSE,-,-,-,-,"3/1/2024, 8:02:56 AM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:33 PM",-,-,DC-SERVER,dc-server.ems.local,172.16.49.2,Global Default Network,Windows Server 2019 Standard 64 bit Edition AD Version 1809 Build 17763,cpe:/o:microsoft:windows_server_2019:1809::x64:,FALSE,-,-,-,53b47ff3-47bb-4904-9db5-8de0ff423529,379223,Windows SMB Version 1 (SMBv1) Detected,5,379223,37922353b47ff3-47bb-4904-9db5-8de0ff423529,,,,HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters SMB1 = 1 SMB Server version 1 is Enabled HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10 Start = 2 SMB Client version 1 is Enabled#,-,Active,a29Ri000001v6jMIAQ,"Microsoft advises users against reinstalling SMBv1 due to its status as an older protocol with well-documented security vulnerabilities, particularly concerning ransomware and other types of malware. Instead, users are strongly encouraged to upgrade to the latest versions of SMB and discontinue the use of SMBv1 for improved security posture and protection against potential threats.  Refer to Microsoft KB article SMB (https://techcommunity.microsoft.com/t5/storage-at-microsoft/stop-using-smb1/ba-p/425858) for more details.Workaround: Customer may consider blocking all versions of SMB at the network boundary by blocking TCP port 445 with related protocols on UDP ports 137-138 and TCP port 139, for all boundary devices.  Patch:  Following are links for downloading patches to fix the vulnerabilities:   Microsoft (https://learn.microsoft.com/en-US/windows-server/storage/file-server/troubleshoot/detect-enable-and-disable-smbv1-v2-v3?tabs=server)","4/8/2024, 11:18:33 PM","The Server Message Block (SMB) Protocol is a network file sharing protocol, and as implemented in Microsoft Windows is known as Microsoft SMB Protocol.   Microsoft publicly deprecated the SMBv1 protocol in 2014. It was superseded by SMBv2 and later protocols  The Windows host has SMBv1 protocol enabled for either :   Client or Server  QID Detection Logic:  Authenticated:  Windows: This QID checks for used SMB version on target and flags if SMBv1 is used.  Unauthenticated:  This QID sends special SMBv1 packets to the target and flags if SMBv1 packets found in response.","SMBv1  protocol is deprecated and vulnerable to many known and unknown vulnerabilities, may allow a remote attacker in complete system compromise.",-,"4/8/2024, 6:31:19 PM",-,214,QAGENT,Vuln,-,-,Active,QSD - 21687645,FALSE,
PJ Lund DDS PLLC,a2sRi000000xh6RIAQ,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Windows 10",-,Windows,005f4000000fHSKAA2,"4/8/2024, 11:18:27 PM","9/13/2022, 1:40:10 PM",FALSE,-,-,-,-,"8/12/2022, 2:51:40 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:27 PM",-,-,EMS-ADMIN1PC,ems-admin1pc.ems.local,192.168.5.112,Global Default Network,Windows 10 Pro 64 bit Edition Version 22H2,cpe:/o:microsoft:windows_10:22H2::x64:,FALSE,-,-,-,52681cf0-3fa6-43f1-a261-68b90d98ed52,90007,Enabled Cached Logon Credential,2,90007,9000752681cf0-3fa6-43f1-a261-68b90d98ed52,,AlexD,"Ignored, low risk",HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon cachedlogonscount = 10#,-,Active,a29Ri000001v6jMIAQ,"We recommend that you locate the following Registry key, and then set or create a REG_SZ 'CachedLogonsCount' entry with a '0' value:   HKEY_LOCAL_MACHINE\Software\Microsoft\Windows Nt\CurrentVersion\Winlogon","4/8/2024, 11:18:27 PM","Windows NT may use a cache to store the last interactive logon (i.e. console logon), to provide a safe logon for the host in the event that the Domain Controller goes down. This feature is currently activated on this host.","Unauthorized users can gain access to this cached information, thereby obtaining sensitive logon information.",-,"4/8/2024, 7:46:58 PM",-,2430,QAGENT,Vuln,-,-,Active,QSD - 21686403,FALSE,
PJ Lund DDS PLLC,a2sRi000000xh6RIAQ,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Windows 10",-,Security Policy,005f4000000fHSKAA2,"4/8/2024, 11:18:27 PM","11/4/2022, 8:49:34 AM",FALSE,-,-,-,-,"8/12/2022, 2:51:40 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:27 PM",-,-,EMS-ADMIN1PC,ems-admin1pc.ems.local,192.168.5.112,Global Default Network,Windows 10 Pro 64 bit Edition Version 22H2,cpe:/o:microsoft:windows_10:22H2::x64:,FALSE,-,-,-,52681cf0-3fa6-43f1-a261-68b90d98ed52,105170,Microsoft Windows Explorer AutoPlay Not Disabled,2,105170,10517052681cf0-3fa6-43f1-a261-68b90d98ed52,,AlexD,"Ignored, low risk",%windir%\explorer.exe   found  HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing.#,-,Active,a29Ri000001v6jMIAQ,Disable autoplay from any disk type by setting the value NoDriveTypeAutoRun to 255 under this registry key:   HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,"4/8/2024, 11:18:27 PM",The setting that prevents applications from any drive to be automatically executed is not enabled on the host.,Exploiting this vulnerability can cause malicious applications to be executed unintentionally at escalated privilege.,-,"4/8/2024, 7:46:58 PM",-,3540,QAGENT,Vuln,-,-,Active,QSD - 21686402,FALSE,
PJ Lund DDS PLLC,a2sRi000000xh6RIAQ,-,"Cloud Agent, PJLundDDSPLLC(2964), Patch Management Windows 10",-,Security Policy,005f4000000fHSKAA2,"4/8/2024, 11:18:27 PM","11/4/2022, 8:49:34 AM",FALSE,-,-,-,-,"8/12/2022, 2:51:40 PM",-,"host scanned, found vuln",-,-,TRUE,"4/8/2024, 11:18:27 PM",-,-,EMS-ADMIN1PC,ems-admin1pc.ems.local,192.168.5.112,Global Default Network,Windows 10 Pro 64 bit Edition Version 22H2,cpe:/o:microsoft:windows_10:22H2::x64:,FALSE,-,-,-,52681cf0-3fa6-43f1-a261-68b90d98ed52,105171,Windows Explorer Autoplay Not Disabled for Default User,2,105171,10517152681cf0-3fa6-43f1-a261-68b90d98ed52,,AlexD,"Ignored, low risk",%windir%\explorer.exe   found  HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoAutorun is missing.  HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing.  HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing.#,-,Active,a29Ri000001v6jMIAQ,Make sure that the value NoDriveTypeAutoRun is defined under this registry key:   HKU\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,"4/8/2024, 11:18:27 PM",The setting that prevents applications from any drive to be automatically executed when no user is logged in is not enabled on the host.,An attacker may be able to run an unauthorized application.,-,"4/8/2024, 7:46:58 PM",-,3540,QAGENT,Vuln,-,-,Active,QSD - 21686401,FALSE,
